file,page_num,line_num,text_auto,text_en
MTX201501307_anon,1,1,Záchranný archeologický výzkum,rescue archaeological research
MTX201501307_anon,1,1,"Vraní, ČOV a kanalizace","Crow, QOV and sewer"
MTX201501307_anon,1,2,"parc. č. 41/1, 41/5, 41/11, 42,137/1","parc. Nos. 41/1, 41/5, 41/11, 42,137/1"
MTX201501307_anon,1,1,Nálezová zpráva,fieldwork report
MTX201501307_anon,1,1,"Pueblo - archeologická společnost, o. p. s.","Pueblo - archaeological society, o. p. society."
MTX201501307_anon,1,1,Vojtěch Marek,Vojtěch Marek
MTX201501307_anon,1,1,2014,2014
MTX201501307_anon,2,1,2,2
MTX201501307_anon,2,1,Objednatel:,Orderer:
MTX201501307_anon,2,2,Obec Vraní,Municipality of
MTX201501307_anon,2,3,Vraní 37,Crow Crow 37
MTX201501307_anon,2,4,592 31 Vraní,592 31 Crow
MTX201501307_anon,2,1,Oprávněná organizace:,Authorised organisation:
MTX201501307_anon,2,2,"Pueblo - archeologická společnost, o. p. s.","Pueblo - archaeological society, o. p. society."
MTX201501307_anon,2,3,Lipová 1601/8,Lipová 1601/8
MTX201501307_anon,2,4,149 00 Lhota 11 - Údolí,149 00 Lhota 11 - valley
MTX201501307_anon,2,5,Vedoucí archeologického výzkumu:,Head of Archaeological Research:
MTX201501307_anon,2,6,Mgr. Bohumil Sýkora,Mgr. Bohumil Sýkora
MTX201501307_anon,2,7,Odborná a technická spolupráce:,Technical and technical cooperation:
MTX201501307_anon,2,8,"Mgr. Jan Doležal, vedoucí technik","Mgr. Jan Doležal, chief technician"
MTX201501307_anon,2,9,"Mgr. Vojtěch Marek, technická spolupráce","Mgr. Vojtěch Marek, technical cooperation"
MTX201501307_anon,2,10,"Bc. Radim Konečný, technická spolupráce","Bc. Radim Final, technical cooperation"
MTX201501307_anon,2,11,"Eva Vránová, laboratorní práce","Eva Vránová, laboratory work"
MTX201501307_anon,2,12,"Mgr. Miroslava Kadlecová, kresebná a fotografická dokumentace artefaktů","Mgr. Miroslava Kadlecová, drawing and photodocumentation artefacts"
MTX201501307_anon,2,13,"Tomáš Beran, geodet","Tomáš Beran, geodet"
MTX201501307_anon,2,1,Upozornění,Warning
MTX201501307_anon,2,2,Předložená práce vznikla tvůrčím zpracováním výsledků archeologického výzkumu a je tedy chráněna autorským právem,The submitted work was created by the creative processing of the results of archaeological research and is therefore protected by the copyright law
MTX201501307_anon,2,3,podle platných právních předpisů České republiky ve smyslu zákona 121/2000 Sb. Na základě tohoto zákona jsou chráněny,"under the current legislation of the České republic within the meaning of law 121/2000 Sb. On the basis of this law, its"
MTX201501307_anon,2,4,"i její jednotlivé části, tj. např. text, databáze, kresebná, měřičská a fotografická dokumentace (viz § 2 citovaného zákona).","individual parts are also protected, i.e. text, database, cretaceous, meter and photodocumentation (see § 2 cited by law)."
MTX201501307_anon,2,5,"Tuto práci lze tedy, stejně jako její části, dále využít, popřípadě uveřejnit, jen se svolením autora (viz § 12 citovaného","This work, like parts of it, can therefore be used or published only with the author's permission (see Paragraph 12 of the"
MTX201501307_anon,2,6,zákona).,law cited).
MTX201501307_anon,3,1,3,3
MTX201501307_anon,3,1,"Pueblo - archeologická společnost, o. p. s.","Pueblo - archaeological society, o. p. society."
MTX201501307_anon,3,1,Katastrální území:,cadastral area:
MTX201501307_anon,3,1,Vraní u Starého Sídla na Vysočině,Crows at Old residential area in the Highlands
MTX201501307_anon,3,1,Okres:,State:
MTX201501307_anon,3,1,Brod nad Lučinou,Brod nad Lučinou
MTX201501307_anon,3,1,Trať:,Trať:
MTX201501307_anon,3,1,intravilán obce,intravilán obce
MTX201501307_anon,3,1,Parc. č.:,Parc. No:
MTX201501307_anon,3,1,"41/1, 41/5, 41/11, 42, 137/1","41/1, 41/5, 41/11, 42, 137/1"
MTX201501307_anon,3,1,Č. mapy,Map No.
